"User ID","User's Fullname","User First Name","User Last Name","User's Country","User's City","User Status","Assignment ID","Assignment Name","Organisation ID","Organisation Name","Position ID","Position Name","Manager ID","Manager Name","Appraiser ID","Appraiser Name"
1,"Guest user  ","Guest user"," ",,,Active,,,,,,,," ",," "
2,"Admin User",Admin,User,"New Zealand",Wellington,Active,4027,"System Admin",971,"Corporate Framework",,,," ",," "
1013,"Jane Ince",Jane,Ince,"United States",Chicago,Active,1766,"Corporate Sales Ops",996,"HR Department",1058,"Corporate Sales Ops",3001,"Gavin Wright",3001,"Gavin Wright"
1014,"Nicholas Allan",Nicholas,Allan,Australia,Sydney,Active,3374,"Digital Marketing Specialist",990,"Marketing Department",1260,"Digital Marketing Specialist",3978,"Chan Lo",3978,"Chan Lo"
1015,"Fiona Simpson",Fiona,Simpson,Australia,Melbourne,Active,3360,"Campaign Marketing Specialist (Lead generation)",990,"Marketing Department",1261,"Campaign Marketing Specialist (Lead generation)",3978,"Chan Lo",3978,"Chan Lo"
1016,"Jack Jackson",Jack,Jackson,France,Paris,Active,4026,"Social Media Community Coordinator",1013,"Facilities Department",1264,"Social Media Community Coordinator",3026,"Scott Parry",3026,"Scott Parry"
1017,"Madeleine Paige",Madeleine,Paige,Australia,Perth,Active,2606,"Corporate Sales Ops",991,"Sales Department",1058,"Corporate Sales Ops",3001,"Gavin Wright",3001,"Gavin Wright"
1018,"Dan Mills",Dan,Mills,Australia,Melbourne,Active,3230,"Digital Marketing Specialist",990,"Marketing Department",1260,"Digital Marketing Specialist",3978,"Chan Lo",3978,"Chan Lo"
1019,"Liam Johnston",Liam,Johnston,Australia,Melbourne,Active,3362,"Social Media Manager",990,"Marketing Department",1265,"Social Media Manager",3978,"Chan Lo",3978,"Chan Lo"
1020,"Julia Parsons",Julia,Parsons,Australia,Melbourne,Active,3361,"Diversified Digital Marketing Specialist",990,"Marketing Department",1267,"Diversified Digital Marketing Specialist",3978,"Chan Lo",3978,"Chan Lo"
1021,"Boris Roberts",Boris,Roberts,"United States","Los Angeles",Active,1760,"Lifecycle Marketing Lead",996,"HR Department",1268,"Lifecycle Marketing Lead",3011,"Khanh Đoàn",3011,"Khanh Đoàn"
1022,"Lauren Lambert",Lauren,Lambert,Australia,Sydney,Active,3283,"Content Marketing Manager",990,"Marketing Department",1274,"Content Marketing Manager",3985,"Robert Foreman",3985,"Robert Foreman"
1023,"Hagar van Leerdam",Hagar,"van Leerdam",France,Paris,Active,3381,"Workforce Planner",1009,"Sales Department",563,"Workforce Planner",3195,"Annisa van Engen",3195,"Annisa van Engen"
1024,"Curcio Tirado",Curcio,Tirado,Australia,Sydney,Active,1768,"Data Analyst",987,"HR Department",1534,"Data Analyst",4047,"Ricardus Ruben",4047,"Ricardus Ruben"
1025,"Maddison Catt",Maddison,Catt,Australia,Melbourne,Active,3383,"Digital Marketing Specialist",990,"Marketing Department",1260,"Digital Marketing Specialist",3978,"Chan Lo",3978,"Chan Lo"
1026,"Sun Hsia",Sun,Hsia,Australia,Melbourne,Active,3832,"Program Physiotherapist",989,"Project Management Office",1817,"Program Physiotherapist",4061,"Sacha van Duinen",4061,"Sacha van Duinen"
1027,"Cinty Quiroz",Cinty,Quiroz,Australia,Melbourne,Active,3385,"Proposition Strategy Lead",990,"Marketing Department",1485,"Proposition Strategy Lead",3128,"Jochum van Rossum",3128,"Jochum van Rossum"
1028,"Tyler Chandler",Tyler,Chandler,"United States","Los Angeles",Active,3366,"Skilling Coordinator",996,"HR Department",557,"Skilling Coordinator",3194,"Lee Diaz",3194,"Lee Diaz"
1029,"Isabella Webb",Isabella,Webb,Australia,Sydney,Active,3367,"Functional Consultant",990,"Marketing Department",3158,"Functional Consultant",3116,"Ashton Rotton",3116,"Ashton Rotton"
1030,"Lành Lưu",Lành,Lưu,"United States","Los Angeles",Active,1742,"Digital QA Lead",996,"HR Department",3002,"Digital QA Lead",4014,"Meng Lai",4014,"Meng Lai"
